canonical_company_id,company,parent_company_id,aliases_entities,company_category,region,locations,archetype,why_test,career_url,source_strategy,rating,notes
moelis,Moelis & Company,,Moelis,Investment Banking,Multi-region,"London, Frankfurt",Independent Investment Bank / Advisory,"Advisory boutique focused on M&A, recapitalisations and restructuring with broad senior-level transaction exposure.",https://www.moelis.com/careers/,Monitor London and Frankfurt experienced-hire opportunities.,Unrated,
pjt-partners,PJT Partners,,PJT,Investment Banking,United Kingdom,London,Independent Investment Bank / Advisory / Restructuring,"Specialist advisory platform with strong restructuring, strategic advisory and private-funds capabilities.",https://pjtpartners.com/careers,Monitor London roles; role-level fit matters more than title.,Unrated,
perella-weinberg,Perella Weinberg Partners,,PWP,Investment Banking,United Kingdom,London,Independent Investment Bank / Advisory,"Boutique advisory platform covering M&A, capital structure and restructuring with concentrated analytical teams.",https://pwpartners.com/careers/,Monitor London experienced opportunities and language requirements.,Unrated,
nomura,Nomura,,Nomura Holdings; Nomura International,Investment Banking,Multi-region,"London, Frankfurt",Global Investment Bank / Markets,"International investment bank with European advisory, markets, risk and corporate functions.",https://www.nomura.com/careers/,Global careers page; filter Europe and experienced hires.,Unrated,
wood-company,WOOD & Company,,WOOD & Co.; WOOD,Investment Banking,Multi-region,"Prague, London, Warsaw",CEE Investment Banking / Markets / Asset Management,"Independent CEE investment group spanning investment banking, markets, asset and wealth management, real estate and venture investments.",https://wood.cz/kariera/,Use one canonical company and retain business line and source link on each vacancy.,Unrated,
capital-group,Capital Group,,Capital Group Companies,Public Markets & Asset Management,Multi-region,"London, Zurich, Frankfurt",Active Asset Management / Equity Research,"Large active investment manager with fundamental public-equity and fixed-income research, portfolio and business roles.",https://www.capitalgroup.com/about-us/careers.html,Monitor European investment and analytical roles.,Unrated,
wellington-management,Wellington Management,,Wellington,Public Markets & Asset Management,Multi-region,"London, Frankfurt, Zurich",Active Asset Management / Research / Portfolio Management,"Research-led investment manager across equities, fixed income and multi-asset strategies; relevant for investment research and analytics.",https://www.wellington.com/en/careers,Global careers page; filter European offices and experienced roles.,Unrated,
t-rowe-price,T. Rowe Price,,T Rowe Price,Public Markets & Asset Management,United Kingdom,London,Active Asset Management / Equity Research,"Fundamental active manager with public-equity, fixed-income and multi-asset research and portfolio-management functions.",https://www.troweprice.com/corporate/us/en/careers.html,Monitor London and EMEA investment roles.,Unrated,
pimco,PIMCO,,Pacific Investment Management Company,Public Markets & Asset Management,Multi-region,"London, Munich, Zurich",Fixed Income Asset Management / Macro Research,"Major fixed-income manager offering portfolio, research, risk, product and analytical finance roles with a strong Munich presence.",https://www.pimco.com/us/en/about-us/careers,Monitor Munich and London offices plus EMEA searches.,Unrated,
franklin-templeton,Franklin Templeton,,Franklin Resources,Public Markets & Asset Management,Multi-region,"London, Frankfurt, Zurich",Global Asset Management / Research,"Multi-boutique asset manager across public equities, fixed income and alternatives, with investment and product roles in Europe.",https://www.franklintempletoncareers.com/,Global careers search; filter target countries.,Unrated,
robeco,Robeco,,Robeco Institutional Asset Management,Public Markets & Asset Management,Multi-region,"Rotterdam, London, Zurich",Active Asset Management / Quant / Sustainability,European asset manager combining fundamental and quantitative public-market strategies with sustainability research.,https://www.robeco.com/en-int/careers,Monitor Netherlands plus London and Zurich; English feasibility varies by role.,Unrated,
columbia-threadneedle,Columbia Threadneedle Investments,,Columbia Threadneedle,Public Markets & Asset Management,United Kingdom,London,Active Asset Management / Research,"Global active manager with equity, fixed-income and multi-asset investment teams and a substantial London platform.",https://www.columbiathreadneedle.com/en/careers/,"Monitor London investment, risk, finance and analytics roles.",Unrated,
ninety-one,Ninety One,,Investec Asset Management,Public Markets & Asset Management,United Kingdom,London,Active Asset Management / Emerging Markets,"Independent active manager known for global and emerging-market public strategies, research and portfolio roles.",https://ninetyone.com/en/careers,Monitor London experienced roles.,Unrated,
union-investment,Union Investment,,Union Asset Management Holding,Public Markets & Asset Management,Germany,Frankfurt,Asset Management / Research / Portfolio Management,"Large German asset manager covering equities, fixed income, multi-asset and real estate; German language may be important.",https://unternehmen.union-investment.de/startseite-unternehmen/karriere,Monitor Frankfurt roles and language requirements.,Unrated,
flossbach-von-storch,Flossbach von Storch,,Flossbach,Public Markets & Asset Management,Germany,"Cologne, Frankfurt",Active Asset Management / Multi-Asset,German owner-managed investment house focused on fundamental public-market and multi-asset investing.,https://www.flossbachvonstorch.de/en/career/,Monitor investment and analytical roles; assess German requirements.,Unrated,
carmignac,Carmignac,,Carmignac Gestion,Public Markets & Asset Management,Multi-region,"Paris, London, Luxembourg",Active Asset Management / Public Markets,"Independent European active manager across equities, fixed income and multi-asset strategies.",https://www.carmignac.com/en_US/careers,Monitor London and broader European roles; French can matter in Paris.,Unrated,
jupiter-fund-management,Jupiter Fund Management,,Jupiter Asset Management,Public Markets & Asset Management,United Kingdom,London,Active Asset Management / Equity Research,"London-based active manager with public-equity, fixed-income and multi-asset strategies.",https://www.jupiteram.com/uk/en/professional/careers/,"Monitor London investment, risk, finance and data roles.",Unrated,
federated-hermes,Federated Hermes,,Hermes Investment Management,Public Markets & Asset Management,United Kingdom,London,Active Asset Management / Stewardship / Research,"Investment manager with public-market strategies, private markets and a strong stewardship platform.",https://www.federatedhermes.com/us/careers/,Monitor London and EMEA opportunities.,Unrated,
neuberger-berman,Neuberger Berman,,NB Alternatives,Public Markets & Asset Management,United Kingdom,London,Asset Management / Research / Alternatives,"Independent investment manager spanning public equities, fixed income and alternatives with a meaningful London office.",https://www.nb.com/en/global/careers,Monitor London investment and analytical functions.,Unrated,
citadel,Citadel,,Citadel LLC,Specialist & Boutique Funds,United Kingdom,London,Multi-Strategy Hedge Fund / Fundamental / Quant,"Large multi-strategy investment firm with fundamental, macro, credit and quantitative teams plus demanding analytical roles.",https://www.citadel.com/careers/,Monitor London roles and distinguish Citadel from Citadel Securities.,Unrated,
millennium-management,Millennium Management,,Millennium; MLP,Specialist & Boutique Funds,United Kingdom,London,Multi-Manager Hedge Fund,"Global multi-manager investment platform with portfolio teams across equities, macro, credit and quantitative strategies.",https://www.mlp.com/careers/,"Monitor London investment, risk, treasury, finance and data roles.",Unrated,
point72,Point72,,Point72 Asset Management,Specialist & Boutique Funds,United Kingdom,London,Multi-Strategy Hedge Fund / Equity Research,"Fundamental and systematic investment platform with public-equity research, data and portfolio roles.",https://careers.point72.com/,Monitor London and European openings.,Unrated,
marshall-wace,Marshall Wace,,MWAM,Specialist & Boutique Funds,United Kingdom,London,Equity Long-Short / Systematic Investing,London-headquartered alternative manager combining fundamental equity long-short and systematic strategies.,https://www.mwam.com/careers/,"Monitor investment, risk, operations, finance and technology roles.",Unrated,
brevan-howard,Brevan Howard,,Brevan Howard Asset Management,Specialist & Boutique Funds,United Kingdom,London,Global Macro Hedge Fund,"Macro-focused alternative manager with investment, risk, treasury, data and platform functions.",https://www.brevanhoward.com/careers/,Monitor London experienced roles.,Unrated,
qube-rt,Qube Research & Technologies,,QRT,Specialist & Boutique Funds,United Kingdom,London,Quantitative Investment Management,"Systematic investment manager using research, data and technology across global markets.",https://www.qube-rt.com/careers/,"Monitor London quantitative, data, risk and finance roles.",Unrated,
winton,Winton,,Winton Group,Specialist & Boutique Funds,United Kingdom,London,Systematic Investment Management,Quantitative investment manager using scientific research and data across futures and other liquid markets.,https://www.winton.com/careers,"Monitor research, data, risk, finance and investment roles.",Unrated,
aqr,AQR Capital Management,,AQR,Specialist & Boutique Funds,United Kingdom,London,Quantitative Asset Management / Factor Investing,"Systematic manager known for factor-based public-market strategies, portfolio research and analytics.",https://www.aqr.com/About-Us/Careers,Monitor London and European opportunities.,Unrated,
two-sigma,Two Sigma,,Two Sigma Investments,Specialist & Boutique Funds,United Kingdom,London,Quantitative Investment Management,"Technology- and data-driven investment firm with systematic research, engineering and market roles.",https://www.twosigma.com/careers/,Monitor London roles; many positions are highly technical.,Unrated,
de-shaw,D. E. Shaw,,DESCO; D.E. Shaw,Specialist & Boutique Funds,United Kingdom,London,Quantitative / Multi-Strategy Investment Firm,Research-intensive investment firm spanning systematic and discretionary strategies with analytical and technology roles.,https://www.deshaw.com/careers,Monitor London experienced opportunities.,Unrated,
rsj,RSJ,,RSJ Investments; RSJ Securities,Specialist & Boutique Funds,Czechia,Prague,Quant Trading / Investment Funds / Private Markets,"Czech investment group combining algorithmic trading with private equity, venture, real estate and other investment funds.",https://www.rsj.com/cz/investments/kariera.html,Use one canonical group and retain RSJ division on each vacancy.,Unrated,
conseq,Conseq Investment Management,,Conseq,Specialist & Boutique Funds,Czechia,Prague,Investment Management / Funds / Wealth,"Czech independent investment manager offering mutual funds, pension and wealth-management products with local analytical roles.",https://www.conseq.cz/kariera,Monitor the local careers page and Czech-language requirements.,Unrated,
pale-fire-capital,Pale Fire Capital,,Pale Fire,Specialist & Boutique Funds,Czechia,Prague,Investment Group / Public and Private Investments,Prague-based investment group with concentrated public and private investments and an entrepreneurial operating style.,https://palefirecapital.com/,Monitor company channels and portfolio signals; vacancies may not use a conventional careers page.,Unrated,
berenberg,Berenberg,,,Investment Banking,Multi-region,Hamburg; Frankfurt; London,Investment Bank / M&A Advisory Boutique,German merchant bank with a growing investment banking / capital markets and corporate finance advisory arm in Germany and the UK.,https://careers.berenberg.com/,Own careers portal,Unrated,
carnegie-investment-bank,Carnegie Investment Bank,,,Investment Banking,Nordics,Stockholm; Copenhagen; Oslo; Helsinki,Investment Bank / M&A Advisory (Nordic),"Leading independent Nordic investment bank offering M&A advisory, ECM and corporate finance roles across Sweden, Denmark, Norway and Finland.",https://jobs.carnegie.se/,Own jobs portal,Unrated,
abg-sundal-collier,ABG Sundal Collier,,,Investment Banking,Nordics,Oslo; Stockholm; Copenhagen; Helsinki,Investment Bank / M&A Advisory Boutique (Nordic),"Independent Nordic investment bank focused on ECM, M&A and corporate finance advisory.",https://abgsc.teamtailor.com/jobs,Teamtailor ATS,Unrated,
ubs-asset-management,UBS Asset Management,,,Public Markets & Asset Management,Multi-region,Zurich; Frankfurt; London; Vienna; Stockholm,Public Markets / Asset Management,"Swiss-headquartered global asset manager with sizeable fixed income, multi-asset and risk functions across Switzerland, Germany and the UK.",https://www.ubs.com/global/en/assetmanagement/about/careers.html,"UBS global careers site, Asset Management division",Unrated,
allianz-global-investors,Allianz Global Investors,,,Public Markets & Asset Management,Multi-region,Frankfurt; Munich; Vienna; Zurich; London; Stockholm,Public Markets / Asset Management,"Germany-based active manager with strong fixed income, credit and multi-asset/risk teams across DACH and Nordic offices.",https://www.allianzgi.com/en/our-firm/career,AllianzGI career site + careers.allianz.com,Unrated,
lgim,Legal & General Investment Management,,,Public Markets & Asset Management,United Kingdom,London,Public Markets / Asset Management,"One of Europe's largest institutional asset managers with major fixed income, LDI, derivatives overlay and risk teams in London.",https://careers.legalandgeneral.com/asset-management,"Legal & General Group careers site, Asset Management area",Unrated,
nordea-asset-management,Nordea Asset Management,,,Public Markets & Asset Management,Multi-region,Copenhagen; Helsinki; Oslo; Stockholm,Public Markets / Asset Management,"Leading Nordic asset manager (part of Nordea Group) with cross-border fixed income, multi-asset and risk functions.",https://www.nordeaassetmanagement.com/careers/,Own careers page + Nordea Group careers site,Unrated,
erste-asset-management,Erste Asset Management,,,Public Markets & Asset Management,Multi-region,Vienna; Prague,Public Markets / Asset Management,"Austrian asset manager (Erste Group) with a strong CEE footprint including a Czech subsidiary, spanning Czechia and Austria target markets.",https://www.erste-am.com/en/about/who-we-are/career,Own career page + Erste Group careers portal,Unrated,
nordkinn-asset-management,Nordkinn Asset Management,,,Specialist & Boutique Funds,Nordics,Stockholm; Oslo,Macro / Fixed Income Hedge Fund,"Nordic-focused fixed income macro hedge fund trading rates and FX directly matching treasury, interest rates and FX background.",,No dedicated jobs page found; monitor LinkedIn,Unrated,
lynx-asset-management,Lynx Asset Management,,,Specialist & Boutique Funds,Sweden,Stockholm,Quant Fund / Systematic Trading (CTA),"Systematic trading firm running quantitative strategies across rates, FX and commodities futures, well suited to a Python/derivatives-minded profile.",https://careers.lynxhedge.se/jobs,Own careers portal,Unrated,
quoniam-asset-management,Quoniam Asset Management,,,Specialist & Boutique Funds,Multi-region,Frankfurt; London,Quant Fund / Systematic Asset Manager,"Quantitative asset manager using factor and risk models across equities/fixed income, fitting valuation, risk and quant/Python skill set.",https://www.quoniam.com/en/careers/,Own careers page,Unrated,
lupus-alpha-asset-management,Lupus alpha Asset Management,,,Specialist & Boutique Funds,Germany,Frankfurt am Main,Derivatives-Based Boutique Asset Manager,"Specialist built entirely around derivatives and volatility strategies, directly aligned with derivatives and valuation expertise.",https://www.lupusalpha.com/careers/,Own careers page + German job boards,Unrated,
systematica-investments,Systematica Investments,,,Specialist & Boutique Funds,Multi-region,Lugano; London,Quant Fund / Systematic Macro Trading,"Large systematic macro/trend-following manager trading rates, FX and commodities futures.",https://systematica.pinpointhq.com/,Pinpoint ATS,Unrated,
gam-investments,GAM Investments,,,Specialist & Boutique Funds,Multi-region,Zurich; London,Boutique Active/Absolute Return Asset Manager,Independent Swiss-headquartered asset manager with systematic and absolute-return/multi-asset strategies.,https://www.gam.com/en/careers,Own careers page + LinkedIn,Unrated,
dc-advisory,DC Advisory,,DC Advisory; Daiwa,Investment Banking,Multi-region,London; European offices,Mid-Market Investment Bank,"Cross-border M&A, debt and restructuring adviser across Europe - transaction, valuation and analytical-finance work.",https://apply.workable.com/dcadvisory/,Official careers page (Workable),Unrated,
alantra,Alantra,,Alantra Partners,Investment Banking,Multi-region,London; Frankfurt; European offices,Mid-Market Investment Bank / Asset Management,"Independent mid-market IB and asset manager - M&A, debt advisory and valuation roles matching corporate-finance interests.",https://www.alantra.com/careers/apply/,Official careers page (Workday),Unrated,
investec,Investec,,Investec Bank plc,Investment Banking,UK,London,Specialist Bank / Investment Bank,"UK specialist bank with corporate/investment banking plus treasury and trading operations - markets, treasury and financing roles fit.",https://careers.investec.co.uk/jobs/home/,Official careers page,Unrated,
centerview-partners,Centerview Partners,,Centerview,Investment Banking,UK,London,Elite Advisory Boutique,"Elite independent M&A advisory boutique with a London office - high-calibre transaction, valuation and analytical-finance work.",,Official careers page (URL unverified - search company careers site),Unrated,
insight-investment,Insight Investment,,Insight; BNY,Public Markets & Asset Management,UK,London; Frankfurt,Fixed Income / LDI Asset Manager,"Major fixed-income, LDI and currency-risk manager - directly relevant to rates, FX, derivatives and market-risk interests.",https://www.insightinvestment.com/uk/nav/careers/,Official careers page,Unrated,
meag,MEAG,,MEAG MUNICH ERGO AssetManagement,Public Markets & Asset Management,Germany,Munich; Multi-region,Insurance Asset Manager,"Munich Re/ERGO's global asset manager across bonds, equities and alternatives - investment, risk and financial-analytics roles fit.",https://www.meag.com/en/apply/professionals.html,Official careers page,Unrated,
klp,KLP,,Kommunal Landspensjonskasse,Public Markets & Asset Management,Norway,Oslo,Pension & Asset Manager,"Large Nordic pension/asset owner and manager - investment, market-risk and fixed-income roles match the treasury/investment profile.",,Official careers page (URL unverified - search company careers site),Unrated,
alecta,Alecta,,Alecta pensionsförsäkring,Public Markets & Asset Management,Sweden,Stockholm,Pension & Asset Manager,Major Swedish occupational-pension manager investing across asset classes - investment analysis and market-risk relevance.,,Official careers page (URL unverified - search company careers site),Unrated,
ruffer,Ruffer,,Ruffer LLP,Public Markets & Asset Management,UK,London; Edinburgh,Absolute-Return Asset Manager,"UK absolute-return manager running macro-aware multi-asset strategies - investment, derivatives and market-risk work fits the profile.",,Official careers page (URL unverified - search company careers site),Unrated,
capula-investment-management,Capula Investment Management,,Capula,Specialist & Boutique Funds,UK,London,Fixed-Income / Macro Hedge Fund,"Relative-value and macro fund across global rates, credit and FX - a direct match for interest rates, FX and derivatives interests.",https://www.capulaglobal.com/working-at-capula/careers/,Official careers page,Unrated,
xtx-markets,XTX Markets,,XTX,Specialist & Boutique Funds,UK,London,Systematic Market Maker,"Leading systematic FX/rates/equities market maker - quantitative, FX and rates roles align with market-risk and analytics interests.",https://www.xtxmarkets.com/careers/,Official careers page,Unrated,
aspect-capital,Aspect Capital,,Aspect,Specialist & Boutique Funds,UK,London,Systematic Macro / CTA,"Systematic macro and trend-following manager trading futures, FX and equities - quantitative markets and financial-modelling fit.",https://www.aspectcapital.com/,Official website / careers,Unrated,
rokos-capital-management,Rokos Capital Management,,RCM,Specialist & Boutique Funds,UK,London,Global Macro Hedge Fund,"Discretionary global-macro fund trading rates, FX and cross-asset - direct fit with interest rates, FX and market-risk interests.",,Official careers page (URL unverified - search company careers site),Unrated,
eisler-capital,Eisler Capital,,Eisler,Specialist & Boutique Funds,UK,London,Multi-Strategy Hedge Fund,"Multi-strategy macro-oriented fund - markets, derivatives and market-risk roles aligned with the profile.",,Official careers page (URL unverified - search company careers site),Unrated,
pareto-securities,Pareto Securities,,Pareto,Investment Banking,Norway,"Oslo, Stockholm, Frankfurt, Zurich, London","Independent Nordic full-service investment bank (ECM/DCM, M&A, trading)","Nordic IB with M&A, valuation, corporate-finance and markets work across his target geographies, matching his corporate-finance and valuation focus.",https://paretosec.com/our-firm/career,Official careers page,Unrated,
metzler,Bankhaus Metzler,,Metzler; Metzler Bank; B. Metzler,Investment Banking,Germany,Frankfurt,Germany's oldest private bank; corporate finance & capital markets,"Corporate finance and capital-markets advisory (valuation, M&A, markets) at an independent private bank, matching his corporate-finance and markets profile.",https://www.metzler.com/en/metzler/careers/job-vacancies,Official careers page,Unrated,
peel-hunt,Peel Hunt,,Peel Hunt LLP,Investment Banking,UK,London,"UK mid-cap investment bank (research, ECM, M&A, execution)","Mid-cap IB with M&A, valuation and corporate-finance work, matching his corporate-finance and valuation interests.",https://www.peelhunt.com/careers/,Official careers page,Unrated,
record-currency-management,Record Financial Group,,Record plc; Record Currency Management,Public Markets & Asset Management,UK,"London, Frankfurt, Zurich, Dusseldorf",Specialist currency & asset manager (FX hedging and overlay),"Specialist currency manager doing FX hedging, overlay and derivatives, a very direct match for his FX, derivatives and markets focus.",,Official careers page (recordfg.com) — first-party URL not verified,Unrated,
polar-capital,Polar Capital,,Polar Capital Partners,Public Markets & Asset Management,UK,London,"Specialist active fund manager (technology, healthcare, financials)","Active long-only manager with fundamental research, valuation and portfolio work matching his investment and financial-analytics profile.",https://www.polarcapital.co.uk/gb/professional/Careers/,Official careers page,Unrated,
liontrust,Liontrust Asset Management,,Liontrust,Public Markets & Asset Management,UK,"London, Edinburgh, Luxembourg",Specialist listed active fund-management company,"Active fund manager doing investment analysis, valuation and portfolio management, matching his investment and financial-analytics interests.",,Official careers page (liontrust.co.uk) — first-party URL not verified,Unrated,
c-worldwide,C WorldWide Asset Management,,C WorldWide; Carnegie Asset Management,Public Markets & Asset Management,Denmark,"Copenhagen, Stockholm",Nordic global-equity active asset manager (ex-Carnegie AM),"Global-equity manager with fundamental research, valuation and portfolio management in his target geographies, matching his investment profile.",https://cworldwide.com/dk/about/career/,Official careers page,Unrated,
squarepoint-capital,Squarepoint Capital,,Squarepoint,Specialist & Boutique Funds,UK,"London, Geneva, Zug, Madrid, Paris",Global quantitative / systematic investment manager,"Systematic trading across equities, futures and FX with heavy quant/modelling and Python, matching his financial-modelling, derivatives and FX interests.",https://www.squarepoint-capital.com/open-opportunities,Official careers page,Unrated,
cevian-capital,Cevian Capital,,Cevian,Specialist & Boutique Funds,Sweden,"Stockholm, Zurich, London",Europe's largest activist / constructive-ownership fund,"Concentrated fundamental investing with deep valuation and financial analysis across his target geographies, matching his investment and valuation focus.",https://cevian.com/careers/,Official careers page,Unrated,
brummer-partners,Brummer & Partners,,Brummer and Partners,Specialist & Boutique Funds,Sweden,"Stockholm, London",Nordic multi-strategy hedge-fund platform,"Multi-strategy fund (macro, rates, FX, systematic) with quant and financial-modelling work, matching his markets, rates, FX and modelling interests.",https://www.recruto.se/apps/portal/brummer,Official careers page (Recruto ATS),Unrated,
harris-williams,Harris Williams,,,Investment Banking,Multi-region,"London, Frankfurt",Mid-market M&A advisory boutique,Strong modelling/valuation and transaction execution with European advisory offices.,https://www.harriswilliams.com/careers,Firm careers site; analyst/associate & experienced hires (London/Frankfurt).,Unrated,
clearwater-international,Clearwater International,,,Investment Banking,Multi-region,"London, Munich, Copenhagen",Independent mid-market corporate finance,"Cross-border M&A with analytical execution across UK, DACH and Nordics.",https://www.clearwaterinternational.com/careers,Firm careers site; corporate finance roles across Europe.,Unrated,
livingstone-partners,Livingstone Partners,,Livingstone,Investment Banking,Multi-region,"London, Duesseldorf",Mid-market M&A/advisory boutique,International mid-market deal execution with modelling/valuation depth.,,Firm site careers; corporate finance roles.,Unrated,
gp-bullhound,GP Bullhound,,,Investment Banking,Multi-region,"London, Berlin, Stockholm",Tech-focused advisory & investing boutique,Technology M&A and analytical execution across Europe.,,Firm site careers; advisory roles.,Unrated,
robey-warshaw,Robey Warshaw,,,Investment Banking,UK,London,Elite M&A advisory boutique,High-end strategic and valuation advisory on major transactions.,,Firm site; selective direct hiring.,Unrated,
ashmore-group,Ashmore Group,,Ashmore,Public Markets & Asset Management,UK,London,Emerging-markets specialist manager,Genuine EM fixed-income and equity research and portfolio management.,https://www.ashmoregroup.com/en-us/careers,Firm careers site; portfolio management/research/risk.,Unrated,
impax-asset-management,Impax Asset Management,,Impax,Public Markets & Asset Management,UK,London,Sustainable-transition specialist manager,Equity and fixed-income investment research and portfolio management.,https://impaxam.com/careers/,Firm careers site; investment roles.,Unrated,
swedbank-robur,Swedbank Robur,,Swedbank Robur Fonder,Public Markets & Asset Management,Sweden,Stockholm,Largest Nordic asset manager,Active equity and fixed-income portfolio management and analysis.,https://www.swedbank.com/work-with-us.html,Group careers site; filter Robur asset-management roles.,Unrated,
evli,Evli,,Evli Plc; Evli Fund Management,Public Markets & Asset Management,Finland,Helsinki,Nordic asset-management boutique,"Institutional portfolio management across fixed income, equities and alternatives.",https://www.evli.com/en/company/careers,Firm careers site; portfolio management/analysis.,Unrated,
bantleon,Bantleon,,Bantleon AG; Bantleon Bank,Public Markets & Asset Management,Multi-region,"Hannover, Zug",Independent institutional manager,Fixed-income and multi-asset investing with quantitative/analytical depth.,https://www.bantleon.com/ueber-uns/karriere/bantleon-als-arbeitgeber,Firm careers site; investment/analytics roles.,Unrated,
balyasny,Balyasny Asset Management,,BAM; Balyasny,Specialist & Boutique Funds,Multi-region,London,Multi-strategy hedge fund,Analytical multi-strategy investing across markets with a London platform.,https://www.bamfunds.com/careers,Firm careers site; PM/analyst/quant roles (London).,Unrated,
exoduspoint-capital,ExodusPoint Capital,,ExodusPoint,Specialist & Boutique Funds,Multi-region,London,Multi-strategy hedge fund,"Relative-value, macro and analytical multi-strategy investing.",,Firm site careers; investment roles (London).,Unrated,
lansdowne-partners,Lansdowne Partners,,,Specialist & Boutique Funds,UK,London,Fundamental equity hedge fund,Fundamental long/short equity research and portfolio management.,https://www.lansdownepartners.com/london/careers/,Firm careers/open-positions page; investment roles.,Unrated,
egerton-capital,Egerton Capital,,Egerton,Specialist & Boutique Funds,UK,London,Fundamental equity hedge fund,Concentrated fundamental long/short equity investing with deep research.,,Firm site; selective direct hiring.,Unrated,
verition,Verition Fund Management,,Verition,Specialist & Boutique Funds,Multi-region,London,Multi-strategy hedge fund,Global multi-strategy analytical investing across asset classes.,,Firm site careers; investment roles (London).,Unrated,
