candidate_id,canonical_company_id,company,title,city,country,official_url,role_summary_en,experience_signal,language_signal,initial_bucket,checked_at,status
pe-014,ares,Ares Management,"Associate, Fund Launch Onboarding & Wind-down",London,United Kingdom,https://aresmgmt.wd1.myworkdayjobs.com/en-US/External/job/Associate--Fund-Launch--Onboarding---Wind-down--FLOW-_R7249-1,"Coordinates private-fund launches and closures across finance, legal, tax, operations and compliance.",Not explicit,English,Boundary,2026-08-12,Open
pe-015,ares,Ares Management,"Associate, Product Management & Investor Relations - Credit",London,United Kingdom,https://aresmgmt.wd1.myworkdayjobs.com/en-US/External/job/Associate--Product-Management-and-Investor-Relations--Credit_R7092-2,"Credit-fund reporting, investor materials, market analysis and quantitative responses.",2-3 years,English,Exploration,2026-08-12,Open
pe-016,icg,Intermediate Capital Group,"Vice President, Credit Analysis",London,United Kingdom,https://icg.wd3.myworkdayjobs.com/en-US/external_careers/job/London/Vice-President--Credit-Analysis_R3135,"Fundamental leveraged-loan and high-yield analysis, modelling, IC recommendations and portfolio monitoring.",3+ years,English,Likely fit,2026-08-12,Open
pe-017,icg,Intermediate Capital Group,Treasury Manager,London,United Kingdom,https://icg.wd3.myworkdayjobs.com/en-US/external_careers/job/London/Treasury-Manager_R3073,"Liquidity, funding, FX and interest-rate hedging, counterparty banks and treasury reporting.",7+ years as guide,English,Boundary,2026-08-12,Open
pe-018,icg,Intermediate Capital Group,"Fund Finance Manager, Real Estate Debt",London,United Kingdom,https://icg.wd3.myworkdayjobs.com/en-US/external_careers/job/Fund-Finance-Manager--Real-Estate-Debt-_R2966,"Real-estate debt fund operations, transaction execution, liquidity, hedging, valuations and investor reporting.",Not explicit,Accounting qualification expected,Boundary,2026-08-12,Open
pe-019,icg,Intermediate Capital Group,Private Markets Operations Associate,Warsaw,Poland,https://icg.wd3.myworkdayjobs.com/en-US/external_careers/job/Warsaw/Private-Markets-Operations-Associate_R2959,"Private-market deal and lifecycle-event capture, reconciliations and coordination with investment teams and administrators.",Not explicit,English,Exploration,2026-08-12,Open
pe-020,mutares,Mutares,Senior Associate / Manager Finance Transformation,Munich or Frankfurt,Germany,https://career.mutares.com/jobs/7554129-senior-associate-manager-finance-transformation-m-f-x-german-speaking,"Hands-on portfolio-company restructuring, liquidity, financial modelling, financing and finance-process improvement.",2+ years,Business-fluent German and English,Likely fit,2026-08-12,Open
pe-021,mutares,Mutares,Investment Manager,Munich,Germany,https://career.mutares.com/jobs/7539057-investment-manager-m-f-x-munich,"Deal screening, return models, IC papers, due diligence, signing and closing.",4+ years,Business-fluent German,Boundary,2026-08-12,Open
pe-022,mutares,Mutares,Senior Associate / Manager IFRS Financial Reporting Integration,Munich,Germany,https://career.mutares.com/jobs/7215043-senior-associate-manager-ifrs-financial-reporting-integration-m-f-x-germany,"Acquisition integration into group finance, reporting, controls and portfolio-company finance improvement.",4+ years,German and English,Boundary,2026-08-12,Open
pe-023,mutares,Mutares,Manager / Senior Manager Group Finance - Reporting Consolidation & Portfolio Management,Munich,Germany,https://career.mutares.com/jobs/7810842-manager-senior-manager-group-finance-reporting-consolidation-portfolio-management-m-f-x-munich,"Group reporting, consolidation, portfolio controlling, variance analysis and finance transformation.",5+ years,German and English,Boundary,2026-08-12,Open
pe-024,waterland,Waterland Private Equity,(Senior) Investment Manager DACH,Hamburg or Munich,Germany,https://www.waterlandpe.com/career/senior-investment-manager-m-w-d-hamburg/,"Leads sourcing, acquisition financing, due diligence, portfolio strategy, add-ons and exits for DACH mid-market investments.",6-10 years,Transaction-fluent German and English,Exploration,2026-08-12,Open
pe-025,dbag,Deutsche Beteiligungs AG,Manager Group Accounting,Frankfurt,Germany,https://www.dbag.de/karriere/karriere/,"HGB closes, accounting controls, liquidity, reporting and auditor coordination for the listed PE group.",Not explicit,Strong German required,Exploration,2026-08-12,Open
